#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Genes,Host,Modify Date,RefSeq category,tRNA
"Ehrlichia chaffeensis str. Arkansas","Bacteria;Proteobacteria;Alphaproteobacteria","Arkansas","SAMN02604010","PRJNA325","GCA_000013145.1","Complete",1.17625,30.1,"chromosome:NC_007799.1/CP000236.1",,1,892,"2006-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/145/GCA_000013145.1_ASM1314v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/145/GCF_000013145.1_ASM1314v1",952,"human","2017-03-29T00:00:00Z","representative",37
"Neorickettsia sennetsu str. Miyayama","Bacteria;Proteobacteria;Alphaproteobacteria","Miyayama","SAMN02604016","PRJNA357","GCA_000013165.1","Complete",0.859006,41.1,"chromosome:NC_007798.1/CP000237.1",,1,759,"2006-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/165/GCA_000013165.1_ASM1316v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/165/GCF_000013165.1_ASM1316v1",800,"human","2017-04-06T00:00:00Z","representative",33
"Staphylococcus aureus subsp. aureus NCTC 8325","Bacteria;Terrabacteria group;Firmicutes","NCTC 8325","SAMN02604235","PRJNA237","GCA_000013425.1","Complete",2.82136,32.9,"chromosome:NC_007795.1/CP000253.1",,1,2767,"2006-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1",2872,"human","2016-08-03T00:00:00Z","reference",61
"Clostridium perfringens ATCC 13124","Bacteria;Terrabacteria group;Firmicutes","ATCC 13124","SAMN02604008","PRJNA304","GCA_000013285.1","Complete",3.25668,28.4,"chromosome:NC_008261.1/CP000246.1",,1,2801,"2006-07-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/285/GCA_000013285.1_ASM1328v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/285/GCF_000013285.1_ASM1328v1",2948,"human","2017-04-06T00:00:00Z","representative",92
"Paraburkholderia xenovorans LB400","Bacteria;Proteobacteria;Betaproteobacteria","LB400","SAMN02598451","PRJNA254","GCA_000013645.1","Complete",9.73114,62.6336,"chromosome 1:NC_007951.1/CP000270.1; chromosome 2:NC_007952.1/CP000271.1; chromosome 3:NC_007953.1/CP000272.1",,3,8421,"2006-04-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/645/GCA_000013645.1_ASM1364v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/645/GCF_000013645.1_ASM1364v1",8841,"human","2017-08-28T00:00:00Z","representative",65
"Leptospira borgpetersenii serovar Hardjo-bovis str. L550","Bacteria;Spirochaetes;Spirochaetia","L550","SAMN02603615","PRJNA16146","GCA_000013945.1","Complete",3.93178,40.2,"chromosome 1:NC_008508.1/CP000348.1; chromosome 2:NC_008509.1/CP000349.1",,2,3288,"2006-10-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/945/GCA_000013945.1_ASM1394v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/945/GCF_000013945.1_ASM1394v1",3847,"human","2017-03-29T00:00:00Z","representative",37
"Arcobacter butzleri RM4018","Bacteria;Proteobacteria;delta/epsilon subdivisions","RM4018","SAMN02604276","PRJNA16319","GCA_000014025.1","Complete",2.34125,27,"chromosome:NC_009850.1/CP000361.1",,1,2256,"2007-09-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/025/GCA_000014025.1_ASM1402v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/025/GCF_000014025.1_ASM1402v1",2332,"human","2017-03-29T00:00:00Z","representative",54
"Clostridium novyi NT","Bacteria;Terrabacteria group;Firmicutes","NT","SAMN02603464","PRJNA16820","GCA_000014125.1","Complete",2.54772,28.9,"chromosome:NC_008593.1/CP000382.1",,1,2240,"2006-11-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/125/GCA_000014125.1_ASM1412v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/125/GCF_000014125.1_ASM1412v1",2392,"human","2017-03-29T00:00:00Z","representative",81
"Streptococcus sanguinis SK36","Bacteria;Terrabacteria group;Firmicutes","SK36","SAMN02604299","PRJNA13942","GCA_000014205.1","Complete",2.38843,43.4,"chromosome:NC_009009.1/CP000387.1",,1,2270,"2007-02-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/205/GCA_000014205.1_ASM1420v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/205/GCF_000014205.1_ASM1420v1",2348,"human","2016-08-28T00:00:00Z","reference",61
"Rickettsia canadensis str. McKiel","Bacteria;Proteobacteria;Alphaproteobacteria","McKiel","SAMN02604083","PRJNA12952","GCA_000014345.1","Complete",1.15977,31.1,"chromosome:NC_009879.1/CP000409.1",,1,909,"2007-10-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/345/GCA_000014345.1_ASM1434v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/345/GCF_000014345.1_ASM1434v1",1142,"human","2017-04-06T00:00:00Z","representative",33
"Aeromonas hydrophila subsp. hydrophila ATCC 7966","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 7966","SAMN02604052","PRJNA16697","GCA_000014805.1","Complete",4.74445,61.5,"chromosome:NC_008570.1/CP000462.1",,1,4118,"2006-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/805/GCA_000014805.1_ASM1480v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/805/GCF_000014805.1_ASM1480v1",4283,"human","2017-05-21T00:00:00Z","reference",128
"Mycolicibacterium smegmatis MC2 155","Bacteria;Terrabacteria group;Actinobacteria","MC2 155","SAMN02603982","PRJNA92","GCA_000015005.1","Complete",6.98821,67.4,"chromosome:NC_008596.1/CP000480.1",,1,6717,"2006-11-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/005/GCA_000015005.1_ASM1500v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/005/GCF_000015005.1_ASM1500v1",6938,"human","2016-08-03T00:00:00Z","reference",47
"Bartonella bacilliformis KC583","Bacteria;Proteobacteria;Alphaproteobacteria","KC583; ATCC 35685","SAMN02604047","PRJNA16249","GCA_000015445.1","Complete",1.44502,38.2,"chromosome:NC_008783.1/CP000524.1",,1,1199,"2007-01-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/445/GCA_000015445.1_ASM1544v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/445/GCF_000015445.1_ASM1544v1",1290,"human","2017-03-30T00:00:00Z","representative",44
"Clostridium botulinum A str. Hall","Bacteria;Terrabacteria group;Firmicutes","Hall","SAMN02603534","PRJNA19521","GCA_000017045.1","Complete",3.76056,28.2,"chromosome:NC_009698.1/CP000727.1",,1,3332,"2007-07-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/045/GCA_000017045.1_ASM1704v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/045/GCF_000017045.1_ASM1704v1",3499,"human","2016-08-03T00:00:00Z","reference",81
"Ochrobactrum anthropi ATCC 49188","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 49188","SAMN02598421","PRJNA19485","GCA_000017405.1","Complete",5.20578,56.1453,"chromosome 1:NC_009667.1/CP000758.1; chromosome 2:NC_009668.1/CP000759.1; plasmid pOANT01:NC_009669.1/CP000760.1; plasmid pOANT02:NC_009670.1/CP000761.1; plasmid pOANT03:NC_009671.1/CP000762.1; plasmid pOANT04:NC_009672.1/CP000763.1",,6,4870,"2007-07-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/405/GCA_000017405.1_ASM1740v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/405/GCF_000017405.1_ASM1740v1",5087,"human","2017-05-19T00:00:00Z","representative",58
"Bacillus cytotoxicus NVH 391-98","Bacteria;Terrabacteria group;Firmicutes","NVH 391-98","SAMN02598310","PRJNA13624","GCA_000017425.1","Complete",4.09416,35.8902,"chromosome:NC_009674.1/CP000764.1; plasmid pBC9801:NC_009673.1/CP000765.1",,2,3855,"2007-07-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/425/GCA_000017425.1_ASM1742v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/425/GCF_000017425.1_ASM1742v1",4277,"human","2017-08-28T00:00:00Z","representative",106
"Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'","Bacteria;Spirochaetes;Spirochaetia","Patoc 1 (Paris)","SAMN02603347","PRJNA20133","GCA_000017685.1","Complete",3.95145,38.9018,"chromosome I:NC_010602.1/CP000786.1; chromosome II:NC_010843.1/CP000787.1; plasmid p74:NC_010844.1/CP000788.1",,3,3695,"2008-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/685/GCA_000017685.1_ASM1768v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/685/GCF_000017685.1_ASM1768v1",3769,"human","2017-04-06T00:00:00Z","representative",35
"Rickettsia akari str. Hartford","Bacteria;Proteobacteria;Alphaproteobacteria","Hartford","SAMN02604084","PRJNA12953","GCA_000018205.1","Complete",1.23106,32.3,"chromosome:NC_009881.1/CP000847.1",,1,1012,"2007-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/205/GCA_000018205.1_ASM1820v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/205/GCF_000018205.1_ASM1820v1",1355,"human","2017-06-19T00:00:00Z","representative",33
"Delftia acidovorans SPH-1","Bacteria;Proteobacteria;Betaproteobacteria","SPH-1","SAMN00623041","PRJNA17413","GCA_000018665.1","Complete",6.76751,66.5,"chromosome:NC_010002.1/CP000884.1",,1,6052,"2007-11-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/665/GCA_000018665.1_ASM1866v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/665/GCF_000018665.1_ASM1866v1",6232,"human","2017-05-18T00:00:00Z","representative",80
"Campylobacter lari RM2100","Bacteria;Proteobacteria;delta/epsilon subdivisions","RM2100; ATCC BAA-1060D","SAMN02604025","PRJNA12517","GCA_000019205.1","Complete",1.57166,29.6177,"chromosome:NC_012039.1/CP000932.1; plasmid megaplasmid pCL2100:NC_012040.1/CP000933.1",,2,1539,"2009-02-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/205/GCA_000019205.1_ASM1920v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/205/GCF_000019205.1_ASM1920v1",1620,"human","2018-05-03T00:00:00Z","representative",46
"Francisella philomiragia subsp. philomiragia ATCC 25017","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 25017","SAMN02598454","PRJNA27853","GCA_000019285.1","Complete",2.04971,32.5919,"chromosome:NC_010336.1/CP000937.1; plasmid pFPHI01:NC_010331.1/CP000938.1",,2,1891,"2008-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/285/GCA_000019285.1_ASM1928v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/285/GCF_000019285.1_ASM1928v1",1992,"human","2017-03-30T00:00:00Z","representative",39
"Ureaplasma parvum serovar 3 str. ATCC 27815","Bacteria;Terrabacteria group;Tenericutes","ATCC 27815","SAMN02604063","PRJNA19087","GCA_000019345.1","Complete",0.751679,25.5,"chromosome:NC_010503.1/CP000942.1",,1,601,"2008-02-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/345/GCA_000019345.1_ASM1934v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/345/GCF_000019345.1_ASM1934v1",646,"human","2017-04-06T00:00:00Z","representative",30
"Histophilus somni 2336","Bacteria;Proteobacteria;Gammaproteobacteria","2336","SAMN02598524","PRJNA388","GCA_000019405.1","Complete",2.26386,37.4,"chromosome:NC_010519.1/CP000947.1",,1,1984,"2008-02-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/405/GCA_000019405.1_ASM1940v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/405/GCF_000019405.1_ASM1940v1",2114,"human","2017-03-30T00:00:00Z","representative",48
"Borrelia duttonii Ly","Bacteria;Spirochaetes;Spirochaetia","Ly","SAMN02603585","PRJNA18231","GCA_000019685.1","Complete",1.57488,28.0227,"chromosome:NC_011229.1/CP000976.1; plasmid pl11:NC_011224.1/CP000977.1; plasmid pl15:NC_011226.1/CP000978.1; plasmid pl165:NC_011247.1/CP000979.1; plasmid pl23:NC_011257.1/CP000980.1; plasmid pl23b:NC_011259.1/CP000981.1; plasmid pl26:NC_011261.1/CP000982.1; plasmid pl27:NC_011265.1/CP000983.1; plasmid pl28:NC_011245.1/CP000984.1; plasmid pl31:NC_011262.1/CP000991.1; plasmid pl32:NC_011264.1/CP000992.1; plasmid pl35:NC_011248.1/CP000985.1; plasmid pl36:NC_011249.1/CP000986.1; plasmid pl40:NC_011250.1/CP000987.1; plasmid pl41:NC_011251.1/CP000988.1; plasmid pl42:NC_011254.1/CP000989.1; plasmid pl70:NC_011256.1/CP000990.1",,17,1350,"2008-09-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/685/GCA_000019685.1_ASM1968v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/685/GCF_000019685.1_ASM1968v1",1513,"human","2017-04-07T00:00:00Z","representative",32
"Ralstonia pickettii 12J","Bacteria;Proteobacteria;Betaproteobacteria","12J","SAMN02598396","PRJNA17631","GCA_000020205.1","Complete",5.32573,63.6234,"chromosome 1:NC_010682.1/CP001068.1; chromosome 2:NC_010678.1/CP001069.1; plasmid pRPIC01:NC_010683.1/CP001070.1",,3,4886,"2008-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/205/GCA_000020205.1_ASM2020v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/205/GCF_000020205.1_ASM2020v1",5073,"human","2017-05-19T00:00:00Z","representative",56
"Laribacter hongkongensis HLHK9","Bacteria;Proteobacteria;Betaproteobacteria","HLHK9","SAMN02603956","PRJNA30817","GCA_000021025.1","Complete",3.16933,62.4,"chromosome:NC_012559.1/CP001154.1",,1,2835,"2009-04-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/025/GCA_000021025.1_ASM2102v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/025/GCF_000021025.1_ASM2102v1",3058,"human","2017-04-07T00:00:00Z","representative",78
"Neorickettsia risticii str. Illinois","Bacteria;Proteobacteria;Alphaproteobacteria","Illinois","SAMN02603947","PRJNA19099","GCA_000022525.1","Complete",0.879977,41.3,"chromosome:NC_013009.1/CP001431.1",,1,766,"2009-07-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/525/GCA_000022525.1_ASM2252v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/525/GCF_000022525.1_ASM2252v1",815,"human","2017-04-07T00:00:00Z","representative",33
"Corynebacterium aurimucosum ATCC 700975","Bacteria;Terrabacteria group;Actinobacteria","DSM 44827; ATCC 700975","SAMN02603064","PRJNA37279","GCA_000022905.1","Complete",2.81923,60.5248,"chromosome:NC_012590.1/CP001601.1; plasmid pET44827:NC_010813.1/FM164414.1",,2,2525,"2009-04-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/905/GCA_000022905.1_ASM2290v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/905/GCF_000022905.1_ASM2290v1",2663,"human","2017-04-10T00:00:00Z","representative",55
"Capnocytophaga ochracea DSM 7271","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 7271","SAMN00001911","PRJNA29403","GCA_000023285.1","Complete",2.61293,39.6,"chromosome:NC_013162.1/CP001632.1",,1,2183,"2009-08-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/285/GCA_000023285.1_ASM2328v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/285/GCF_000023285.1_ASM2328v1",2322,"human","2017-04-07T00:00:00Z","representative",47
"Cryptobacterium curtum DSM 15641","Bacteria;Terrabacteria group;Actinobacteria","DSM 15641","SAMN02598434","PRJNA20739","GCA_000023845.1","Complete",1.6178,50.9,"chromosome:NC_013170.1/CP001682.1",,1,1337,"2009-08-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/845/GCA_000023845.1_ASM2384v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/845/GCF_000023845.1_ASM2384v1",1405,"human","2017-04-17T00:00:00Z","representative",47
"Leptotrichia buccalis C-1013-b","Bacteria;Fusobacteria;Fusobacteriia","DSM 1135","SAMN00002593","PRJNA29445","GCA_000023905.1","Complete",2.46561,29.6,"chromosome:NC_013192.1/CP001685.1",,1,2187,"2009-09-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/905/GCA_000023905.1_ASM2390v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/905/GCF_000023905.1_ASM2390v1",2323,"human","2017-04-17T00:00:00Z","representative",46
"Anaerococcus prevotii DSM 20548","Bacteria;Terrabacteria group;Firmicutes","DSM 20548","SAMN00001908","PRJNA29533","GCA_000024105.1","Complete",1.99863,35.6663,"chromosome:NC_013171.1/CP001708.1; plasmid pAPRE01:NC_013164.1/CP001709.1",,2,1781,"2009-08-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/105/GCA_000024105.1_ASM2410v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/105/GCF_000024105.1_ASM2410v1",1884,"human","2017-04-07T00:00:00Z","representative",47
"Eggerthella lenta DSM 2243","Bacteria;Terrabacteria group;Actinobacteria","DSM 2243","SAMN00002594","PRJNA21093","GCA_000024265.1","Complete",3.63226,64.2,"chromosome:NC_013204.1/CP001726.1",,1,3057,"2009-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/265/GCA_000024265.1_ASM2426v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/265/GCF_000024265.1_ASM2426v1",3146,"human","2017-04-07T00:00:00Z","representative",48
"Escherichia coli IAI39","Bacteria;Proteobacteria;Gammaproteobacteria","IAI39","SAMEA3138234","PRJNA33411","GCA_000026345.1","Complete",5.13207,50.6,"chromosome:NC_011750.1/CU928164.2",,1,4725,"2008-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/345/GCF_000026345.1_ASM2634v1",5092,"human","2016-08-28T00:00:00Z","reference",88
"Streptococcus equi subsp. zooepidemicus","Bacteria;Terrabacteria group;Firmicutes","H70","SAMEA2272197","PRJEA30767","GCA_000026605.1","Complete",2.14987,41.5,"chromosome:NC_012470.1/FM204884.1",,1,1901,"2009-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/605/GCA_000026605.1_ASM2660v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/605/GCF_000026605.1_ASM2660v1",2049,"human","2017-05-28T00:00:00Z","representative",57
"Mycoplasma pneumoniae M129","Bacteria;Terrabacteria group;Tenericutes","M129; ATCC 29342","SAMN02603304","PRJNA99","GCA_000027345.1","Complete",0.816394,40,"chromosome:NC_000912.1/U00089.2",,1,691,"1996-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/345/GCA_000027345.1_ASM2734v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/345/GCF_000027345.1_ASM2734v1",1061,"human","2018-10-24T00:00:00Z","reference",37
"Streptococcus suis BM407","Bacteria;Terrabacteria group;Firmicutes","BM407","SAMEA2272697","PRJEA32237","GCA_000026745.1","Complete",2.17081,41.0468,"chromosome:NC_012926.1/FM252032.1; plasmid pBM407:NC_012923.1/FM252033.1",,2,1947,"2009-07-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/745/GCA_000026745.1_ASM2674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/745/GCF_000026745.1_ASM2674v1",2136,"human","2016-08-03T00:00:00Z","reference",52
"Morganella morganii subsp. morganii KT","Bacteria;Proteobacteria;Gammaproteobacteria","KT","SAMN02603113","PRJNA78681","GCA_000286435.2","Complete",3.79954,51.1,"chromosome:NC_020418.1/CP004345.1",,1,3489,"2013-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/435/GCA_000286435.2_ASM28643v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/286/435/GCF_000286435.2_ASM28643v2",3632,"human","2017-04-01T00:00:00Z","representative",79
"Haemophilus influenzae Rd KW20","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMN02603991","PRJNA219","GCA_000027305.1","Complete",1.83014,38.2,"chromosome:NC_000907.1/L42023.1",,1,1610,"1995-07-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/305/GCA_000027305.1_ASM2730v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/305/GCF_000027305.1_ASM2730v1",1765,"human","2016-08-02T00:00:00Z","reference",58
"Mycoplasma genitalium G37","Bacteria;Terrabacteria group;Tenericutes","G-37","SAMN02603983","PRJNA97","GCA_000027325.1","Complete",0.580076,31.7,"chromosome:NC_000908.2/L43967.2",,1,515,"1995-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/325/GCA_000027325.1_ASM2732v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/325/GCF_000027325.1_ASM2732v1",566,"human","2017-04-07T00:00:00Z","representative",36
"Streptococcus intermedius B196","Bacteria;Terrabacteria group;Firmicutes","B196","SAMN02603659","PRJNA50415","GCA_000463355.1","Complete",1.99621,37.6,"chromosome:NC_022246.1/CP003857.1",,1,1830,"2013-09-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/355/GCA_000463355.1_ASM46335v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/355/GCF_000463355.1_ASM46335v1",1967,"human","2017-04-01T00:00:00Z","representative",60
"Bartonella quintana str. Toulouse","Bacteria;Proteobacteria;Alphaproteobacteria","Toulouse","SAMEA3138248","PRJNA44","GCA_000046685.1","Complete",1.58138,38.8,"chromosome:NC_005955.1/BX897700.1",,1,1222,"2004-06-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/046/685/GCA_000046685.1_ASM4668v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/685/GCF_000046685.1_ASM4668v1",1389,"human","2017-10-21T00:00:00Z","representative",42
"Bartonella henselae str. Houston-1","Bacteria;Proteobacteria;Alphaproteobacteria","Houston-1","SAMEA3138249","PRJNA196","GCA_000046705.1","Complete",1.93105,38.2,"chromosome:NC_005956.1/BX897699.1",,1,1520,"2004-06-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/046/705/GCA_000046705.1_ASM4670v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/705/GCF_000046705.1_ASM4670v1",1743,"human","2017-04-10T00:00:00Z","representative",43
"Mycobacterium kansasii ATCC 12478","Bacteria;Terrabacteria group;Actinobacteria","ATCC 12478","SAMN02603596","PRJNA30907","GCA_000157895.2","Complete",6.57723,66.1912,"chromosome:NC_022663.1/CP006835.1; plasmid pMK12478:NC_022654.1/CP006836.1",,2,5497,"2013-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/895/GCA_000157895.2_ASM15789v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/895/GCF_000157895.3_ASM15789v2",5783,"human","2017-04-02T00:00:00Z","representative",46
"Orientia tsutsugamushi str. Boryong","Bacteria;Proteobacteria;Alphaproteobacteria","Boryong","SAMEA3138266","PRJNA16180","GCA_000063545.1","Complete",2.12705,30.5,"chromosome:NC_009488.1/AM494475.1",,1,1408,"2007-05-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/545/GCA_000063545.1_ASM6354v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/545/GCF_000063545.1_ASM6354v1",2195,"human","2017-03-30T00:00:00Z","representative",34
"Ehrlichia muris AS145","Bacteria;Proteobacteria;Alphaproteobacteria","AS145","SAMN02641637","PRJNA228704","GCA_000508225.1","Complete",1.19672,29.7,"chromosome:NC_023063.1/CP006917.1",,1,874,"2013-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/225/GCA_000508225.1_ASM50822v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/225/GCF_000508225.1_ASM50822v1",941,"human","2017-04-09T00:00:00Z","representative",37
"Mycobacteroides abscessus ATCC 19977","Bacteria;Terrabacteria group;Actinobacteria","","SAMEA3138276","PRJNA15691","GCA_000069185.1","Complete",5.09049,64.1174,"chromosome Chromosome:NC_010397.1/CU458896.1; plasmid pMAB23:NC_010394.1/CU458745.1",,2,4942,"2008-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/185/GCA_000069185.1_ASM6918v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/185/GCF_000069185.1_ASM6918v1",4992,"human","2016-08-02T00:00:00Z","reference",47
"Corynebacterium urealyticum DSM 7109","Bacteria;Terrabacteria group;Actinobacteria","DSM 7109","SAMEA3138282","PRJNA29211","GCA_000069945.1","Complete",2.36922,64.2,"chromosome:NC_010545.1/AM942444.1",,1,1953,"2008-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/945/GCA_000069945.1_ASM6994v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/945/GCF_000069945.1_ASM6994v1",2059,"human","2017-04-07T00:00:00Z","representative",51
